,class,class_abrv,class_number,review_content,review_month,review_year,student_gpa,student_grade,student_major,student_rank,student_standing,teacher_difficulties,teacher_field,teacher_name,teacher_presentaion,teacher_rating
16,MATH 141,MATH,141,"Van Eps is a very laid back teacher. He collects the homework weekly, and only goes over it if asked. His tests are straight forward and he has a great philosophy on his final. If you get a better grade on the final than you had in the class, that becomes your grade. If you have a 0% going into the final, get a 90% on the final, you get a 90% in the class. Good times.",Jun,2002,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
17,MATH 141,MATH,141,"This teacher rules!!!!  The best math teacher I have taken at this school yet.  his tests are too the point and not to difficult, and he is really cool about grading.  Im gonna try and take him for every math class!!!",Jun,2002,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
18,MATH 141,MATH,141,Van Eps was a great teacher and explained material very well. He is laid back and understanding.  He does collect homework every week but you just have to do it and you get full credit.  He will even go over every homework assignment in class.  You dont really have to go to class he posts homework assignments on the internet.  this was my second time taking this class the first time i took it with a different professor and failed. ,Jul,2002,4.0,A,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
19,MATH 141,MATH,141,"Dr. Van Eps is a good teacher and a fair grader.  I could have gotton an 'A' if I spent a little bit more time on my H.W.  Dr. Van Eps is a nice guy who cares about your grade, ulike Dr. Lewis.  Highly Recomended.",Oct,2002,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
20,MATH 141,MATH,141,"This guy is cool because he is straightforward. He doesn't mess around, and he is very laid back.  He strolls in and just gets to work.  He doesn't waste your time.  He'll answer questions, and always does the difficult problems in class. so this is a good guy to take if you like to see how things are done.  However, if you get people in your class who ask a lot of questions, the class gets boring.  He also sometimes gets boring because he likes to prove all theorems.  There are no quizes, only two midterms and he throws out whatever midterm is lower than your final.  So, that's good if you do bad on midterms but you have to do well on the final.  Homework is only due on monday, so you get plenty of time to do your work.  I recommend this guy because you get all kinds of breaks and time to do things.",Nov,2002,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
21,MATH 141,MATH,141,Dr. Van Eps is the best teacher. He  wants his students to do well. He will never be tricky or sneaky. You will know what is on the test. Even though he has been teaching for a long time he still loves his students to do well. And he is not anal about the homework. You can turn it in a couple of days late. It's ok. completet homework gets full credit whether you have the right answers or not.Dr. Van Eps is the best Professor on campus. ,Nov,2002,4.0,A,Required (Support),3,Senior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
22,MATH 141,MATH,141,"So here's the deal with this guy.  He's totally nice and friendly and really wants to help his students, he just doesn't do it in the best possible manner (at least for me).  I re-took this class, so it was easy enough for me, but I felt that if I hadn't already taken it in highschool, I would have been lost.  He is very dull, but I don't know, I just like how he really wanted to help his students.  While I didn't attend any office hours, he was willing to spend all of class time if need be going over homework so we understood it.  Which brings me to the best part about him: his grading policy just kicks ass.  read elsewhere about how it works, but it was a relief.  His tests are soooo much easier than other teachers, also.  I just hope i'm prepared enough for next quarter...",Dec,2002,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
23,MATH 141,MATH,141,"He's actually a really smart and funny guy, but he just does not belong in a classroom teaching. He's too smart. I really don't think this is a class you should take if you are a ""learn by doing"" person. This class is more geared toward the typical personalityless student who can watch an example and immediately understand all the concepts behind it. Basically, it's for former chess club members. As with any class, with enough time in the book and on other sources, you could grasp the concepts pretty well without him, but isn't that what we're paying for... someone to teach us instead of leaving us in the dark and being totally oblivious/uncaring (I couldn't tell) to whether we understand the material? This guy really needs to go back to How To Present Classroom Material 101 is all I can say. He doesn't give sufficient examples, or my favorite, he teaches the basic concept and then jumps into the problems that have exceptions without first giving a normal problem to show the concept. I don't think he understands anymore that he's actually teaching people that don't understand the material and that don't all have the same math background and train of thought.I'm not necessarily going to say that I'd recommend not taking the class because I'm sure it would suit some people, but if math isn't your thing or if you prefer to have a professor that will give you examples and help you to understand what you're doing in class instead of at home reading the book, I'd say choose another professor.",Dec,2004,1.0,D,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
24,MATH 141,MATH,141,"van eps is the coolest,granted most of his lectures are proofs that dont make sense to people that just want the practical way of solving things, hes still awesome.  i loved the way he talked, i didn't know anyone could be so impressed with math, once in a while he would stand back and look at the problems on the chalk board and smile.  hahaha he's cool though he really enjoys helping you so if you need help ask and he'd be happy to help.  his class consists of quizzes two midterms and a final.  if you keep up with the homework and study you should get an easy A because his quizzes are directly from the homework. he may not be that great at teaching but he really wants you to learn the material so it makes up for it.  If he were teaching 142 i would take it, i hope you take this class!",Jan,2005,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
25,MATH 141,MATH,141,"I thought he was a good professor, however his grading policy seems a little weird at times.  However, he is very flexible about quiz and test grades and I know that if you go talk to him in his office hours he might add a few points for questions if you have a legit reason why your answer might have been underscored.  Even though he doesn't collect the homework, it would be a benifit for you to do it since most his problems are straight out of the book.  At times he may seem a little scatter brained.  But overall he is a okay professor and a nice guy.",Jan,2005,2.0,C,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
26,MATH 141,MATH,141,"he is terrible at explaining things.  if you're good at teaching yourself, take him.  He poorly explains how he wants you to do the problems, and then book shows you another way.  So you do the homework the way the book teaches you, and then he expects you to do it his way on the test.  Confusing!  don't know how i got the grade i did.",Dec,2007,4.0,A,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
27,MATH 142,MATH,142,"Great math professor. He knows all the material very well and explains it all very well. Integrals were not as hard as most people told me it would be. There's homework, but he only counts if you did it or not. There's no quizzes and he drops the lowest midterm (there's 2 and the final). He tends to use a very generous curve. Usually, he lets students leave about 5 minutes early from class.",Aug,2001,2.0,C,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
28,MATH 142,MATH,142,"Despite my grade, I think this is an excellent teacher.  He knows the material and explains it very well.",Aug,2001,0.0,F,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
29,MATH 142,MATH,142,"Very good teacher. very down to earth, and teaches very well.  Fair grading system. Highly recomend taking Dr Van Eps.",Jun,2000,2.0,C,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
30,MATH 142,MATH,142,"This is one of the greatest calculus teachers I've had.  He is very simple is his teaching, he makes things clear and gives you time for the information to soak in.  He doesn't give a lot of homework, what he does is directly related to the information he lectures on.  Dr. Van Eps makes very reasonable tests and honestly tries not to put anything tricky on them.  He is helpful and just a nice, easy-going guy.  I enjoyed his class (a math class at that!) and REALLY recommend him to anyone who hates those teachers that takes pleasure out of making you feel stupid.",Feb,2001,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
31,MATH 142,MATH,142,"Professor Van Eps is a great teacher when it comes to explaining in detail and drawing excellent graphs in lecture (we all know how when you can visually see something clearly, it helps out tremendously!).  My only critism (seriously,the only one), is that he doesnt give much partial credit on exams and that can bring you down.  All in all, I would highly recommend taking Van Eps for all math courses.",Mar,2001,2.0,C,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
32,MATH 142,MATH,142,"Van Eps' style of teaching is straightforward and very basic.  He moves quickly since he is very efficient in his teaching style.  If you keep up with the homework and make sure you know how to do each problem, the class is ok.  Homework is graded based on whether you did it or not, and his grader grades individual problems for your own benefit.  The tests are on the easy side as the questions are from the homework and usually not the hard homework problems.  Also, his tests, unlike some others in the department, can easily be finished in one class period.  He drops your lowest test score.",May,2001,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
33,MATH 142,MATH,142,"THIS GUY IS AWESOME! His tests are not tricky, he does not give quizzes, and he counts your homework as full credit as long as you turn it in.  He answers all homework questions even if it takes all class period. VERY GOOD MATH TEACHER.",May,2002,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
34,MATH 142,MATH,142,"Van Eps is a great math teacher. Compared to my teacher last quarter, he is a saint. I got A's on all of his tests. There are absolutely no tricks on them, they are exactly how he says they'll be. He assigns and collects homework once a week. He is awesome!",Jun,2002,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
35,MATH 142,MATH,142,"ok, here's the deal, hrm.. 2 midterms, hw counts, and there's a final. everything was straightforward BUT it's still difficult because it's alil tricky, but hw was cool, u don't have to get the answers rite it's always counted as 100% even if the grader gave u a score. in the beginning of the course, he totally made no sense, but after awhile.. he gradually got better at explaining, but hey.. maybe it's because i already understood the ending topics of logarithms and the different ways of integration.. OH! and he always used ""etc"" when he gets lazy to explain problems.i knew a friend who had to repeat the course, and he dropped this class cause he didn't like it, even if it meant to take calculus next quarter, i stayed, i don't know HOW I PASSED, but i did! *whew, i failed both my midterms, thought i did horrible on the final, but yeah.. he's nice and leany on his gradings,so i got a C.",Jan,2003,2.0,C,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
36,MATH 142,MATH,142,"Dr. Van Eps is a good teacher, as he will continue to do examples on the board until everyone has a good understanding. He is always willing to take extra time on harder sections. His grading pollicy is also very nice. HW is important, but you get full credit if you do all the problems (they don't have to be right). There are two midterms and a final. If any of your midterms lower your grade after the final, they are dropped. As an example, I got a 93 on my first midterm, and a 57 on the second. How I managed to get a B is still a mystery to me... the final was really hard. Just do the HW and pay attention in class and you should do fine.",Jan,2003,3.0,B,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
37,MATH 142,MATH,142,"I absolutely adored Professor Van Eps. He covers the material briskly and sufficiently. You'll be ahead of the other classes and still be thoroughly knowledgable about the material. He provides the perfect balance between the theoretical math and the practical. Never be afraid to ask questions or go to his office hours, as he is very patient and understanding and will help you without making you feel any less for it. I would highly encourage anyone to take him.",Dec,2011,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
38,MATH 142,MATH,142,"This guy knows what he's taking about. The only complaint I have is that he is a little boring during lecture, but nothing else. He's a super nice guy, can teach well, homework was graded on completion, no quizzes, both midterms and maybe final were curved, and I ended up with an A because I studied for the final a lot and got an A on that. His policy is an A on the final, an A in the class. Overall, take him!",Jun,2012,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
39,MATH 142,MATH,142,Van Eps is just a nice easygoing professor who really cares about his students. Midterms and final are straight forward and challenging enough. His policy A on the final A on the class is just awesome. Great office hours communication. Definitely take him,Nov,2012,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
40,MATH 142,MATH,142,"Dr. Van Eps takes all the stress out of his class. Basically your final grade is the grade you got on the final or if midterms help you he will use those. Great guy requires homework due but if you get behind he won't let it hurt your grade only lets it help. His lectures get a little theoretical, but when you ask him questions from the homework (recommended) he takes a lot of time to go through any problem and as long as there is questions he will keep answering them and lecture later. TAKE HIM",Dec,2012,2.0,C,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
41,MATH 142,MATH,142,"Math 142 is VERY difficult, that being said, Van Eps' Math 142 class is very easy to pass. He really wants everyone to do well. He curved the final and let the score replace your midterms if you did better. There are no quizzes and there is hw (that you should be doing anyways) due every Monday, and he'll go over it in class! He's very nice and helpful, but very boring. If you need to take the entire calc series I would request a different teacher because I didn't learn much in his class. But I still passed.",Jun,2013,2.0,C,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
42,MATH 142,MATH,142,"Van Eps is a tough teacher, but doesn't make the class too hard as long as you do the work and ask questions. I had no problems with this class, although I know many classmates thought he was too strict. He's a great teacher and is good at clarifying and answering questions.",Apr,2014,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
43,MATH 143,MATH,143,"A very good & fair teacher, but you are guaranteed to fall asleep in class.  He teaches well and his tests aren't too difficult.  This was the highest grade I made in the Calculus series and 143 is supposed to be the hardest.",Aug,2001,3.0,B,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
44,MATH 143,MATH,143,"I really liked Van Eps.  He knew his math very well.  Although he does go a bit fast and it can be hard to keep up, you can always read thru the intros to each section of the book which basically expands on everything he said in class.  His homework is graded very fairly as many said below, and he also is very cool about his grading policy with midterms/finals/etc.",Feb,2002,,N/A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
45,MATH 143,MATH,143,"Great teacher!! I took him for math 141,143, & 241.  The test questions are almost identical to the homework problems.  He might seem boring but, math is just a boring subject.",Nov,2002,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
46,MATH 143,MATH,143,"Van Eps is one of the best professor's I have had here. He gives homework that is never collected, but it would be beneficial to do it because that is what the quizzes, mid-terms and final are comprised of. There are no tricks in his class, everything is straight forward. Office hours rock, and he is always willing to spend class time working out homework problems. Don't be afraid to ask questions, he never makes you feel stupid! Overall a great class.",Mar,2004,4.0,A,Required (Major),2,Junior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
47,MATH 143,MATH,143,"TAKE HIM!!!  He knows his stuff.  He asks questions everyday about homework so if you're stuck on something, he will go over it step by step.  He has a quiz every friday that is on homework problems so if you do the homework (which isn't all that much) you should be fine.  He is a good guy.  Take him!",Apr,2004,2.0,C,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
48,MATH 143,MATH,143,"If you're looking for a teacher who teaches well, Dr. Van Eps is one of the top choices. He cuts straight to material during class but by that time, I find myself usually prepared. Although he presents the material fast sometimes, he gives high credit for just turning in homework and goes over anything you need at the beginning of class. The tests should be straightforward and you may not need the allotted time to finish it. Most of the time, you don't have to look in the book to understand the material. However, if you're looking for a more animated teacher, you should browse the site. Otherwise, Dr. Van Eps does fine teaching.",Nov,2011,,N/A,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
49,MATH 143,MATH,143,"Van Eps is probably the most straightforward math teacher I've ever had. He cuts straight to the material and presents it in an organized, clear way. Sometimes he'll assign a few homework problems that we didn't necessarily go completely over in class, but that's understandable since it should be a given that students are expected to put some of their own extra work in the class to do better. However, that being said, his tests never have anything that we didn't go over in class. In addition, he'll allow students to ask last-minute questions the day of a midterm before beginning, which is really great in case you weren't able to make his office hour and needed to ask him something important before the test. He's very good at working with students and understand what they have difficulties in. Top notch professor, highly recommended. ",Feb,2012,,N/A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
50,MATH 143,MATH,143,"Van Eps' lectures were close to worthless, but helped get me familiar with the material. He collected hw which was good for me, and spot graded it. You get credit whether or not you get the problems right, as long as you turn it in. I got an F on one midterm and a D on the next. I went into office hours after the second one and asked him what to do. He said he would make my final grade in the class whatever I got on the final, and I studied my ass off and got a B.",Mar,2012,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
51,MATH 143,MATH,143,"I thought that Professor Van Eps was an extremely good math teacher. It's obvious that he's masterful of the material and as he goes through his lectures you can tell that he's actually processing the material as he goes since he always catches his own mistakes when he makes them (which is pretty rare compared to most math teachers). While he's great at lecturing and is very kind to his students and is always willing to help, sometimes the lectures seem like giant walls of information that are a struggle to get through conceptually. Without going to his office hours or looking up different methods of working through problems and understanding the material, this would be a very challenging class. Calc 3 is a very difficult class and not everyone gets the concepts right away, but fortunately Van Eps is aware of this when you approach him during office hours or after class and finds more in-depth ways of explaining things if you ask him to do so. If he implemented the same explanations in his lectures as he did in office hours, he'd be a perfect math professor, in my opinion. Great guy, take him if you can! ",Mar,2012,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
52,MATH 143,MATH,143,He doesn't cover all the topics in Calc 3 but he only tests you on what he covered in lecture. He's a little boring but not too bad. He's really helpful at office hours. He collects homework once a week and goes over homework problems every day at the beginning of class. His tests aren't hard and his grading is kind of lenient.,Apr,2012,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
53,MATH 143,MATH,143,"John is a good teacher for calc and I would recommend him to anyone. Cons: He is a generally soft speaker. But other than his quiet voice, he is very friendly, more than happy to help anyone with a problem and goes over homework problems at the start of class if you ask. His tests are fairly easy also. He's a super nice guy and a very solid teacher of calc. ",Dec,2013,,N/A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
54,MATH 143,MATH,143,"Professor Van Eps is an amazing math teacher! He does an excellent job of explaining the material in a way that both makes sense and shows why it is useful. That said, he tends to be monotonous and if you fall asleep in class, be sure to sit in the front.  He is very helpful during office hours and he does a good job of recognizing when his students are having difficulties with a topic. ",Dec,2013,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
55,MATH 143,MATH,143,"This is for the people who struggled with calc 2: Don't take Van Eps! BORING! I sat in the front row the entire quarter in a desperate attempt to stay awake in his class and I failed at that. He faces the board the entire time too so there's nothing really forcing you to wake up. Anyway, he's a brilliant professor, I can't deny that, but I am not very good at calc. He over complicates topics that I now know, thanks to the professor I am now taking for calc 3, are very simple. I just felt like a total idiot in his class and he made me feel even more stupid in office hours as he would explain things and then just make me more confused. Also, I studied a ton for the final and thought I had a chance at passing the class, but it was ridiculously hard and I basically ended up leaving half the test blank.",Feb,2014,1.0,D,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
56,MATH 143,MATH,143,"Quiet guy that really knows what he's talking about.  Boring, but straight and to the point.  Lots of examples, proofs only for important stuff like vectors, planes, and polar coordinates.  2 midterms, no quizzes, hw due every week, and a final.  Final replaces worst midterm score.  Midterms were 3-4 problems, final was 5 problems.  Easy A.",Mar,2014,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
57,MATH 182,MATH,182,"Goin to class everyday was my relaxin hour where i could finish up lunch, read the mustang daily, and catch up on any other classes HW. never math hw because of Hotmath and his policy was Hw was worth 100 out of the total 450 for the class and if you had work for anythign you would get full credit for it.  tryin to follow his lecture was the biggest mistake ever. you couldnt if you had to. he was so slow and give you so much random useless info on every problem you would eventually say screw it and give up. the workshop is the only way i could see anyone passin his class. the faciliatator was like a filter. all the useless crap that came out of his mouth, he gave us only the stuff that we needed to know. even though he sucked as a teacher if your a self learner you can definetly benefit of his grading. 2 midterms with simple basic problems and the final which is more basic problems to prove u can understand the concepts. which i do til i take the test. and if you do better on the final than your midtems he replaces the midterm grades with your final grade which can be a huge boost.",Jun,2003,1.0,D,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
58,MATH 206,MATH,206,I felt Dr. Van Eps displayed professionalism not only by means of logical communication through lectures but from flexible compromise he provides in his unique grading system. I especially recommend Dr. Van Eps if you are the type of student that procrastinates or doesn,Nov,2000,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
59,MATH 221,MATH,221,"If you have to take bus calc then take VanEps. He realizes that bus calc is pointless so he makes the class as painless as possible. He thoroughly explains everything and he just tests you on your basic knowledge of calc ,no trick questions or anything like that and the types of test questions are in the most basic form. I probably learned more in that class than any other bus calc class cause theres really no pressure.",Jun,1999,4.0,A,Required (Major),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
60,MATH 221,MATH,221,Van Eps has the personality of a wall.  If your looking for a teacher that makes you laugh dont even THINK about signing up with this guy.  Class consists of him going through a crate of chalk a day showing you how smart he is about calc.  However that helps you how??? O wait......IT DOESNT.I mean you can ask questions but he makes everything so damn easy your basically left confused as hell.  He collects homework once a week this is the highlight of the grading portion of the class since u get credit as long as you turn it in.  So basically turn in SOMETHING every week even if its a drawing of your aunt.  You have 2 midterms the first is cheese cake and the second is a tad funky.  We didnt have to take the final because we had an alternate test and if we liked our grade we were set.  When i saw i got a B i threw up a peace sign and booked towards the nearest exit.  Take him if you want to be bored to death and contimplate jumping out of the window daily.  However its an easy B or C.,Sep,2001,3.0,B,Required (Support),2,Junior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
61,MATH 221,MATH,221,"Dr. Van Eps is sooo chill. He didn't care if you showed up to class or not as long as you were there for tests and only graded the homework on the fact that you turned in a piece of paper with a name on it.  I only went to class half the days and got an easy A with about 20 minutes of work a week put in outside of class. If you want an easy A in calc, take this class.",Oct,2001,4.0,A,General Ed,0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
62,MATH 221,MATH,221,"This guy knows Business Majors have no business taking a calculus course, so he is as lenient as any professor I've ever seen.  His grading policy is still the same and like before full credit on the homework consists of doodling with your name on it.  I hadn't taken a math course since junior year in high school and I had no idea what the hell he was talking about throughout the quarter.  Then again I only went to class 5 times and forgot to take one of the midterms.  He might as well been speaking a foreign language.  If you have any background in math you should ace this class because he only tests you on the basic concepts.  As a matter of fact, we only got throught the first 4 chapters of the book for the entire quarter.  If you have no concept of math, you should still take this guy because he will pass you even if the only thing you learned was how to copy homework in class before it is due.  Van Eps doesn't teach Bus Calc often because he sees no point in it and he knows it is a complete waste of his time.  But when he does teach this class, take a priority to get it because I can guarantee there are no other Bus Calc professors that will pass you if you don't anything. ",Apr,2003,2.0,C,Required (Support),3,Senior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
